2 ROW COIL MAX,,1 ROW COIL MAX,,MAX,
X,Y,X,Y,X,Y
2213.132182884643,0.4761271949335663,2295.250732549424,0.4925759701915692,2440.899965254906,0.48844225738235114
2228.1112108034536,0.4570977757530838,2314.478384709242,0.47096022607400156,2460.1096447503364,0.4684740075003414
2247.3920062726256,0.43061056161140965,2327.3257410113542,0.4538985898464495,2477.195296175993,0.44977288210326627
2266.6695480697967,0.40442160073651745,2340.1885909896637,0.4354166999675544,2494.2824969692692,0.4309297313410569
2283.788510899276,0.3826669299890548,2359.4410330313963,0.41152855000783795,,
2301.634127142369,0.35878084585283126,2375.8581323291755,0.38963288680698743,,
2324.491018014449,0.32687730074080806,2391.54702884572,0.3700106623600322,,
2345.9076167473045,0.2980435693391786,2406.544907403902,0.34925326790374905,,
2367.3149192744418,0.27006199012835486,2421.5056011392135,0.33190448221068913,,
2388.7259402838667,0.2417395500412089,2436.4996062783466,0.31150215116724167,,
2411.571055962037,0.21091539770420636,2451.4734696384244,0.29294614987054013,,
2431.5647154730086,0.18356079592346652,2464.3239246757757,0.2756004629127195,,
2452.983173447008,0.15455663408367587,2475.0207587218183,0.26223458491389856,,
2474.4016314210076,0.12555247224388527,2494.299230139561,0.2359604088199258,,
2495.8200893950066,0.09654831040409462,,,,
